N° de serie,Year,Quarter,Month,Day,Categoría,Tiempo de Respuesta -horas,Tiempo de Respuesta - minutos
0BB1564112,2019,Qtr 2,April,23,CORRECTIVO,0,0
0BG2939611,2019,Qtr 2,April,23,MANTENIMIENTO PREVENTIVO,0,0
0BG2947153,2019,Qtr 2,April,23,MANTENIMIENTO PREVENTIVO,0,0
0BG2947925,2019,Qtr 2,April,23,MANTENIMIENTO PREVENTIVO,0,0
0C4X011068,2019,Qtr 2,April,23,MANTENIMIENTO PREVENTIVO,0,0
0EX9293386,2019,Qtr 2,April,23,CORRECTIVO,0,43
0EX9297565,2019,Qtr 2,April,23,CORRECTIVO,0,0
0LX5822381,2019,Qtr 2,April,23,CORRECTIVO,0,0
0X76373202,2019,Qtr 2,April,23,CORRECTIVO,0,0
0Y4X848752,2019,Qtr 2,April,23,MANTENIMIENTO PREVENTIVO,0,0
03AG877899,2019,Qtr 2,April,22,CORRECTIVO,1,45
07CX043423,2019,Qtr 2,April,22,CORRECTIVO,2,57
09HB331362,2019,Qtr 2,April,22,MANTENIMIENTO PREVENTIVO,0,0
09HB331381,2019,Qtr 2,April,22,MANTENIMIENTO PREVENTIVO,0,0
09HB331488,2019,Qtr 2,April,22,MANTENIMIENTO PREVENTIVO,0,0
09HB331515,2019,Qtr 2,April,22,MANTENIMIENTO PREVENTIVO,0,0
09HB331860,2019,Qtr 2,April,22,CORRECTIVO,0,32
09HB331897,2019,Qtr 2,April,22,CONFIGURACION,0,0
09HB331911,2019,Qtr 2,April,22,MANTENIMIENTO PREVENTIVO,0,0
09HB331956,2019,Qtr 2,April,22,MANTENIMIENTO PREVENTIVO,0,0
09HB332003,2019,Qtr 2,April,22,MANTENIMIENTO PREVENTIVO,0,0
0A1H020675,2019,Qtr 2,April,22,CORRECTIVO,3,24
0AGD461848,2019,Qtr 2,April,22,CORRECTIVO,1,41
0B2R088357,2019,Qtr 2,April,22,CORRECTIVO,0,13
0BG0972350,2019,Qtr 2,April,22,CORRECTIVO,2,41
0BG0974969,2019,Qtr 2,April,22,MANTENIMIENTO PREVENTIVO,0,0
0BG2945237,2019,Qtr 2,April,22,CORRECTIVO,1,26
0BG2947152,2019,Qtr 2,April,22,CORRECTIVO,0,50
0BG2948808,2019,Qtr 2,April,22,CORRECTIVO,1,32
0BG2948912,2019,Qtr 2,April,22,CORRECTIVO,3,26
0BG2950042,2019,Qtr 2,April,22,CORRECTIVO,1,25
0BG2951676,2019,Qtr 2,April,22,MANTENIMIENTO PREVENTIVO,0,0
0E2B649503,2019,Qtr 2,April,22,CORRECTIVO,1,28
0E2B656981,2019,Qtr 2,April,22,RETIRO,0,0
0EX9293026,2019,Qtr 2,April,22,CORRECTIVO,0,53
0EX9293145,2019,Qtr 2,April,22,CORRECTIVO,1,11
0MX4777324,2019,Qtr 2,April,22,CORRECTIVO,0,2
0RXD109069,2019,Qtr 2,April,22,MANTENIMIENTO PREVENTIVO,0,0
0RXD143457,2019,Qtr 2,April,22,MANTENIMIENTO PREVENTIVO,0,0
0X76371386,2019,Qtr 2,April,22,CORRECTIVO,1,21
0X76703816,2019,Qtr 2,April,22,CORRECTIVO,0,11
0XEH805292,2019,Qtr 2,April,22,CORRECTIVO,1,49
0XLT280687,2019,Qtr 2,April,22,MANTENIMIENTO PREVENTIVO,0,0
0XLT282436,2019,Qtr 2,April,22,MANTENIMIENTO PREVENTIVO,0,0
0Y4X848732,2019,Qtr 2,April,22,MANTENIMIENTO PREVENTIVO,0,0
0Y4X848866,2019,Qtr 2,April,22,CORRECTIVO,0,20
5AV814873,2019,Qtr 2,April,22,CORRECTIVO,0,1
0BG2947627,2019,Qtr 2,April,21,CORRECTIVO,0,0
0BG2947906,2019,Qtr 2,April,21,CORRECTIVO,1,39
0C7X273155,2019,Qtr 2,April,21,MANTENIMIENTO PREVENTIVO,0,0
0D6X463381,2019,Qtr 2,April,21,CORRECTIVO,0,8
0XPN396574,2019,Qtr 2,April,21,CORRECTIVO,0,33
0Y4X821876,2019,Qtr 2,April,21,MANTENIMIENTO PREVENTIVO,0,0
0E2B658299,2019,Qtr 2,April,19,CORRECTIVO,0,54
0MX4766757,2019,Qtr 2,April,19,CORRECTIVO,0,18
0XPN395024,2019,Qtr 2,April,19,CORRECTIVO,1,12
03AG880355,2019,Qtr 2,April,18,CORRECTIVO,1,9
06HB014103,2019,Qtr 2,April,18,CORRECTIVO,2,27
06TB449258,2019,Qtr 2,April,18,CORRECTIVO,0,39
09HB331348,2019,Qtr 2,April,18,CORRECTIVO,1,56
0A1H020591,2019,Qtr 2,April,18,CORRECTIVO,3,11
0BG2939611,2019,Qtr 2,April,18,MANTENIMIENTO PREVENTIVO,0,0
0BG2947152,2019,Qtr 2,April,18,CORRECTIVO,1,45
0BG2947926,2019,Qtr 2,April,18,CORRECTIVO,1,55
0Y4X838625,2019,Qtr 2,April,18,CORRECTIVO,0,10
03BT802611,2019,Qtr 2,April,17,CORRECTIVO,0,53
09HB321648,2019,Qtr 2,April,17,CORRECTIVO,1,16
09HB325909,2019,Qtr 2,April,17,CORRECTIVO,2,12
09HB331355,2019,Qtr 2,April,17,CORRECTIVO,2,3
09HB331358,2019,Qtr 2,April,17,MANTENIMIENTO PREVENTIVO,0,0
09HB331389,2019,Qtr 2,April,17,MANTENIMIENTO PREVENTIVO,0,0
09HB331455,2019,Qtr 2,April,17,MANTENIMIENTO PREVENTIVO,0,0
09HB331458,2019,Qtr 2,April,17,MANTENIMIENTO PREVENTIVO,0,0
09HB331515,2019,Qtr 2,April,17,MANTENIMIENTO PREVENTIVO,0,0
09HB331532,2019,Qtr 2,April,17,MANTENIMIENTO PREVENTIVO,0,0
09HB331584,2019,Qtr 2,April,17,MANTENIMIENTO PREVENTIVO,0,0
09HB331758,2019,Qtr 2,April,17,CONFIGURACION,0,0
09HB331897,2019,Qtr 2,April,17,MANTENIMIENTO PREVENTIVO,0,0
0A1H020675,2019,Qtr 2,April,17,CORRECTIVO,4,38
0A2T200060,2019,Qtr 2,April,17,CORRECTIVO,3,8
0A2T200474,2019,Qtr 2,April,17,CORRECTIVO,2,32
0A2T386442,2019,Qtr 2,April,17,CORRECTIVO,1,2
0A4T037736,2019,Qtr 2,April,17,CORRECTIVO,3,45
0A4T558166,2019,Qtr 2,April,17,CORRECTIVO,3,41
0AE9573935,2019,Qtr 2,April,17,CORRECTIVO,1,8
0B2R090061,2019,Qtr 2,April,17,CORRECTIVO,1,14
0BB1265406,2019,Qtr 2,April,17,CORRECTIVO,2,3
0BG2940928,2019,Qtr 2,April,17,CORRECTIVO,14,58
0BG2945237,2019,Qtr 2,April,17,CORRECTIVO,1,11
0BG2948912,2019,Qtr 2,April,17,CORRECTIVO,1,59
0BG2949227,2019,Qtr 2,April,17,CORRECTIVO,1,12
0BG2951623,2019,Qtr 2,April,17,MANTENIMIENTO PREVENTIVO,0,0
0C4X002910,2019,Qtr 2,April,17,PROACTIVO  - CORRECTIVO,0,36
0C7X273155,2019,Qtr 2,April,17,CORRECTIVO,0,43
0E2B106647,2019,Qtr 2,April,17,CORRECTIVO,2,14
0E2B654080,2019,Qtr 2,April,17,INSTALACION,0,0
0E2B656917,2019,Qtr 2,April,17,CORRECTIVO,1,3
0E2B665653,2019,Qtr 2,April,17,INSTALACION,0,0
0EX9293515,2019,Qtr 2,April,17,CORRECTIVO,0,59
0EX9303605,2019,Qtr 2,April,17,INSTALACION,0,0
0X76092842,2019,Qtr 2,April,17,CORRECTIVO,1,30
0X76705877,2019,Qtr 2,April,17,CORRECTIVO,1,3
0Y4X848849,2019,Qtr 2,April,17,CORRECTIVO,0,0
0Y4X848866,2019,Qtr 2,April,17,CORRECTIVO,1,14
0Y4X849031,2019,Qtr 2,April,17,MANTENIMIENTO PREVENTIVO,0,0
5BT731387,2019,Qtr 2,April,17,CORRECTIVO,1,33
03AG879544,2019,Qtr 2,April,16,MANTENIMIENTO PREVENTIVO,0,0
06HB014103,2019,Qtr 2,April,16,CORRECTIVO,0,47
09HB331426,2019,Qtr 2,April,16,MANTENIMIENTO PREVENTIVO,0,0
09HB331428,2019,Qtr 2,April,16,MANTENIMIENTO PREVENTIVO,0,0
09HB331468,2019,Qtr 2,April,16,MANTENIMIENTO PREVENTIVO,0,0
09HB331492,2019,Qtr 2,April,16,CORRECTIVO,1,47
09HB331514,2019,Qtr 2,April,16,MANTENIMIENTO PREVENTIVO,0,0
