No. Orden,N° de serie,Year,Quarter,Month,Day,Categoría,T. respuesta,Business Team,Pago Base CDMX y área metropolitana,Pago Base Interior,menos de 3 días,entre 3 y 6 días,entre 7 y 15 días,entre 16 y 30 días,entre 31 y 59 días,60 días o más,REGION,TR Ciudades principales,TR Otras ciudades,Loc TR,familia matriz global,Ruta,Year.1,Quarter.1,Month.1,Day.1,RESIDENTE/FIJO,time,viabilidad,veces_obj,pagofinal
64026,9HB334888,2019,Qtr 1,March,4,INSTALACION NUEVA,0,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,A4 Mono MFPs,ESTADO DE MEXICO,2019,Qtr 2,April,4,NA,0,0,0,0
64377,0AGD461524,2019,Qtr 1,March,5,CORRECTIVO,2.866667,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,A4 Color Laser MFPs,NUEVO LEON,2019,Qtr 2,April,22,NA,11,0,0,0
65273,0BG2951668,2019,Qtr 1,March,11,MANTENIMIENTO PREVENTIVO,0,Light Production Digital Business,803,1573,0.2,0.6,0.8,1.05,1.1,1.15,INTERIOR,4,6,Ciudad principal,High End Cut Sheet,NUEVO LEON,2019,Qtr 2,April,11,0,14,0,0,1573
65752,0BPB110617,2019,Qtr 1,March,13,CORRECTIVO,2.216667,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,High End Cut Sheet,JALISCO,2019,Qtr 2,April,1,NA,9,0,0,0
65760,0BPB110653,2019,Qtr 1,March,13,CORRECTIVO,4.233333,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,High End Cut Sheet,JALISCO,2019,Qtr 2,April,3,NA,26,0,0,0
65963, 09HB914002,2019,Qtr 1,March,14,INSTALACION NUEVA,0,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,A4 Mono MFPs,CHIHUAHUA,2019,Qtr 2,April,15,NA,0,0,0,0
66303,0VGW686533,2019,Qtr 1,March,15,CORRECTIVO,0.25,A3 Professional Color Laser MFPs,655,1365,0,0,0.6,0.8,1.05,1.1,INTERIOR,5,9,Ciudad principal,Entry Production Color Low/Mid,CHIHUAHUA,2019,Qtr 2,April,9,0,15,0.6,0.05,819
66652,C7X376533,2019,Qtr 1,March,19,INSTALACION NUEVA,0,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,A4 Mono MFPs,COAHUILA,2019,Qtr 2,April,5,NA,0,0,0,0
66854,0BG0971716,2019,Qtr 1,March,20,CORRECTIVO,1.183333,Light Production Digital Business,803,1573,0.2,0.6,0.8,1.05,1.1,1.15,INTERIOR,4,6,Ciudad principal,High End Cut Sheet,NUEVO LEON,2019,Qtr 2,April,3,0,49,1.1,0.29583325,1730.3
66935,0EX9310036,2019,Qtr 1,March,21,CORRECTIVO,1.666667,Departmental Digital,655,1365,0,0,0.6,0.8,1.05,1.1,INTERIOR,5,9,Ciudad principal,Departmental Digital,TAMAULIPAS,2019,Qtr 2,April,5,0,43,1.05,0.3333334,1433.25
66971,0RXD138712,2019,Qtr 1,March,21,CORRECTIVO,0.3166667,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,Departmental Digital,COAHUILA,2019,Qtr 2,April,5,NA,55,0,0,0
