N° de serie,Year,Quarter,Month,Day,Categoría,T. respuesta,Business Team,Pago Base CDMX y área metropolitana,Pago Base Interior,menos de 3 días,entre 3 y 6 días,entre 7 y 15 días,entre 16 y 30 días,entre 31 y 59 días,60 días o más,REGION,TR Ciudades principales,TR Otras ciudades,Loc TR,familia matriz global,Cliente,Ruta,Year.1,Quarter.1,Month.1,Day.1,time,viabilidad,veces_obj,pagofinal
9HB334888,2019,Qtr 1,March,4,INSTALACION NUEVA,0,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,A4 Mono MFPs,XEROX MEXICANA SA DE CV / XEROX MEXICANA,ESTADO DE MEXICO,2019,Qtr 2,April,4,0,1.1,0,715
0AGD461524,2019,Qtr 1,March,5,CORRECTIVO,2.866667,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,A4 Color Laser MFPs,XEROX MEXICANA SA DE CV / XEROX MEXICANA,NUEVO LEON,2019,Qtr 2,April,22,12,1.1,0,0
0BG2951668,2019,Qtr 1,March,11,MANTENIMIENTO PREVENTIVO,0,Light Production Digital Business,803,1573,0.2,0.6,0.8,1.05,1.1,1.15,INTERIOR,4,6,Ciudad principal,High End Cut Sheet,XEROX MEXICANA SA DE CV / XEROX MEXICANA,NUEVO LEON,2019,Qtr 2,April,11,14,0,0,1573
0BPB110617,2019,Qtr 1,March,13,CORRECTIVO,2.216667,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,High End Cut Sheet,XEROX MEXICANA SA DE CV / XEROX MEXICANA,JALISCO,2019,Qtr 2,April,1,13,1.1,0,107.25
0BPB110653,2019,Qtr 1,March,13,CORRECTIVO,4.233333,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,High End Cut Sheet,XEROX MEXICANA SA DE CV / XEROX MEXICANA,JALISCO,2019,Qtr 2,April,3,35,1.1,0,321.75
0VGW686533,2019,Qtr 1,March,15,CORRECTIVO,0.25,A3 Professional Color Laser MFPs,655,1365,0,0,0.6,0.8,1.05,1.1,INTERIOR,5,9,Ciudad principal,Entry Production Color Low/Mid,XEROX MEXICANA SA DE CV / XEROX MEXICANA,CHIHUAHUA,2019,Qtr 2,April,9,29,0.8,0.05,1092
0BG0971716,2019,Qtr 1,March,20,CORRECTIVO,1.183333,Light Production Digital Business,803,1573,0.2,0.6,0.8,1.05,1.1,1.15,INTERIOR,4,6,Ciudad principal,High End Cut Sheet,XEROX MEXICANA SA DE CV / XEROX MEXICANA,NUEVO LEON,2019,Qtr 2,April,3,49,1.1,0.29583325,1730.3
0EX9310036,2019,Qtr 1,March,21,CORRECTIVO,1.666667,Departmental Digital,655,1365,0,0,0.6,0.8,1.05,1.1,INTERIOR,5,9,Ciudad principal,Departmental Digital,XEROX MEXICANA SA DE CV / XEROX MEXICANA,TAMAULIPAS,2019,Qtr 2,April,5,48,1.05,0.3333334,1433.25
0RXD138712,2019,Qtr 1,March,21,CORRECTIVO,0.3166667,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,Departmental Digital,XEROX MEXICANA SA DE CV / XEROX MEXICANA,COAHUILA,2019,Qtr 2,April,5,58,1.1,0,962
0BG2948893,2019,Qtr 1,March,22,CORRECTIVO,2.65,Light Production Digital Business,803,1573,0.2,0.6,0.8,1.05,1.1,1.15,INTERIOR,4,6,Ciudad principal,High End Cut Sheet,XEROX MEXICANA SA DE CV / XEROX MEXICANA,NUEVO LEON,2019,Qtr 2,April,4,15,0.8,0.6625,1258.4
0LX5697800,2019,Qtr 1,March,22,CORRECTIVO,1.066667,A3 Office Color Laser MFPs,655,1365,0,0,0.6,0.8,1.05,1.1,INTERIOR,5,9,Ciudad principal,A3 Office Color Laser MFPs,XEROX MEXICANA SA DE CV / XEROX MEXICANA,CHIHUAHUA,2019,Qtr 2,April,4,17,0.8,0.2133334,1092
0AB9779149,2019,Qtr 1,March,25,CORRECTIVO,0,Color Laser Printers,468,715,0,0,0,0.6,0.8,1.05,INTERIOR,5,9,Ciudad principal,Departmental Digital,XEROX MEXICANA SA DE CV / XEROX MEXICANA,QUERETARO,2019,Qtr 2,April,8,194,1.05,0,750.75
0BG2949298,2019,Qtr 1,March,25,CORRECTIVO,2.733333,Light Production Digital Business,803,1573,0.2,0.6,0.8,1.05,1.1,1.15,INTERIOR,4,6,Ciudad principal,High End Cut Sheet,XEROX MEXICANA SA DE CV / XEROX MEXICANA,ESTADO DE MEXICO,2019,Qtr 2,April,2,14,0.8,0.68333325,1258.4
